date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url
09-10-2024,17,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,96,222369,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e
09-10-2024,18,get him back!,Olivia Rodrigo,92,211141,album,12,TRUE,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
09-10-2024,19,fukumean,Gunna,95,125040,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
09-10-2024,20,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status & Bou & Flowdan,80,177291,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273adfadf345224340773549507
09-10-2024,21,8am in Charlotte,Drake,75,266847,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,22,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,76,319191,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,23,Calling For You (feat. 21 Savage),Drake,78,285630,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,24,Disconnect,Becky Hill & Chase & Status,80,164914,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27309dc775999d5a6d87d156c2f
09-10-2024,25,(It Goes Like) Nanana - Edit,Peggy Gou,92,231545,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522
09-10-2024,26,Daylight,Drake,78,164142,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,27,Fear Of Heights,Drake,78,155154,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,28,Daylight,David Kushner,95,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
09-10-2024,29,Mr. Brightside,The Killers,87,222973,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
09-10-2024,30,Amen (feat. Teezo Touchdown),Drake,77,141212,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,31,Members Only (feat. PARTYNEXTDOOR),Drake,75,277720,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,32,City Boys,Burna Boy,83,153346,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27339550ce4ccf28a1a4b82a443
09-10-2024,33,Asking,Sonny Fodera & MK & Clementine Douglas,77,191590,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273134ef642daa4982eef39577c
09-10-2024,34,I Wanna Be Yours,Arctic Monkeys,94,183956,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
09-10-2024,35,7969 Santa,Drake,77,259846,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,36,Dreams - 2004 Remaster,Fleetwood Mac,87,257800,album,58,FALSE,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b
09-10-2024,37,As It Was,Harry Styles,94,167303,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
09-10-2024,38,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,93,215466,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d
09-10-2024,39,Anti-Hero,Taylor Swift,92,200690,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
09-10-2024,40,Gently (feat. Bad Bunny),Drake,77,133694,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,41,Bahamas Promises,Drake,75,184089,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,42,What Would Pluto Do,Drake,75,182998,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,43,Tried Our Best,Drake,75,209990,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
09-10-2024,44,Pink + White,Frank Ocean,90,184516,album,17,FALSE,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526
09-10-2024,45,Another Love,Tom Odell,91,244360,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f
09-10-2024,46,Riptide,Vance Joy,82,204280,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03
09-10-2024,47,Sweater Weather,The Neighbourhood,91,240400,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
09-10-2024,48,Kill Bill,SZA,91,153946,album,23,FALSE,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
09-10-2024,49,Why'd You Only Call Me When You're High?,Arctic Monkeys,89,161123,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
09-10-2024,50,Giving Me,Jazzy,81,169000,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c62f6e3708772daaa05e787d
10-10-2024,1,Strangers,Kenya Grace,96,172964,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3
10-10-2024,2,greedy,Tate McRae,96,131872,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8
10-10-2024,3,Paint The Town Red,Doja Cat,85,230480,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273a840032f14ab22da396e43cb
10-10-2024,4,Prada,cassö & RAYE & D-Block Europe,93,132359,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273e4b7dccdfd54375ded9ccc5c
10-10-2024,5,Sprinter,Dave & Central Cee,94,229133,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60
10-10-2024,6,First Person Shooter (feat. J. Cole),Drake,83,247444,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,7,IDGAF (feat. Yeat),Drake,82,260111,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,8,vampire,Olivia Rodrigo,95,219724,album,12,TRUE,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
10-10-2024,9,Virginia Beach,Drake,81,251094,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,10,Water,Tyla,89,200255,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e
10-10-2024,11,Cruel Summer,Taylor Swift,99,178426,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
10-10-2024,12,My Love Mine All Mine,Mitski,90,137773,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10
10-10-2024,13,Slime You Out (feat. SZA),Drake,77,310490,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,14,adore u,Fred again.. & Obongjayar,84,220653,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273f14e70dbc29485778e114039
10-10-2024,15,bad idea right?,Olivia Rodrigo,93,184783,album,12,TRUE,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
10-10-2024,16,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,78,319191,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,17,Dance The Night - From Barbie The Album,Dua Lipa,95,176579,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
10-10-2024,18,8am in Charlotte,Drake,78,266847,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,19,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,96,222369,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e
10-10-2024,20,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status & Bou & Flowdan,80,177291,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273adfadf345224340773549507
10-10-2024,21,get him back!,Olivia Rodrigo,92,211141,album,12,TRUE,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
10-10-2024,22,fukumean,Gunna,95,125040,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
10-10-2024,23,Disconnect,Becky Hill & Chase & Status,80,164914,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27309dc775999d5a6d87d156c2f
10-10-2024,24,Calling For You (feat. 21 Savage),Drake,80,285630,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,25,(It Goes Like) Nanana - Edit,Peggy Gou,92,231545,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522
10-10-2024,26,Daylight,Drake,80,164142,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,27,Fear Of Heights,Drake,80,155154,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,28,Asking,Sonny Fodera & MK & Clementine Douglas,77,191590,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273134ef642daa4982eef39577c
10-10-2024,29,Amen (feat. Teezo Touchdown),Drake,79,141212,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,30,Members Only (feat. PARTYNEXTDOOR),Drake,77,277720,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,31,City Boys,Burna Boy,83,153346,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27339550ce4ccf28a1a4b82a443
10-10-2024,32,7969 Santa,Drake,79,259846,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,33,Daylight,David Kushner,95,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
10-10-2024,34,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,93,215466,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d
10-10-2024,35,Gently (feat. Bad Bunny),Drake,80,133694,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,36,Bahamas Promises,Drake,77,184089,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,37,What Would Pluto Do,Drake,77,182998,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,38,Mr. Brightside,The Killers,87,222973,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
10-10-2024,39,Tried Our Best,Drake,77,209990,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
10-10-2024,40,I Wanna Be Yours,Arctic Monkeys,94,183956,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
10-10-2024,41,Stick Season,Noah Kahan,84,182346,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918
10-10-2024,42,Another Love,Tom Odell,91,244360,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f
10-10-2024,43,Daily Duppy (feat. GRM Daily),Nines,55,192439,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273aa9a94439cf84d49f01c0361
10-10-2024,44,As It Was,Harry Styles,94,167303,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
10-10-2024,45,Giving Me,Jazzy,82,169000,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c62f6e3708772daaa05e787d
10-10-2024,46,Pink + White,Frank Ocean,90,184516,album,17,FALSE,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526
10-10-2024,47,Anti-Hero,Taylor Swift,92,200690,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
10-10-2024,48,Dreams - 2004 Remaster,Fleetwood Mac,88,257800,album,58,FALSE,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b
10-10-2024,49,Good Love,Hannah Laing & RoRo,79,169534,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2735647f33c586bfe7bb8b7a0c6
10-10-2024,50,Why'd You Only Call Me When You're High?,Arctic Monkeys,89,161123,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
11-10-2024,1,Strangers,Kenya Grace,96,172964,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3
11-10-2024,2,greedy,Tate McRae,96,131872,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8
11-10-2024,3,Paint The Town Red,Doja Cat,85,230480,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273a840032f14ab22da396e43cb
11-10-2024,4,Prada,cassö & RAYE & D-Block Europe,93,132359,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273e4b7dccdfd54375ded9ccc5c
11-10-2024,5,Sprinter,Dave & Central Cee,94,229133,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60
11-10-2024,6,First Person Shooter (feat. J. Cole),Drake,85,247444,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,7,IDGAF (feat. Yeat),Drake,84,260111,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,8,vampire,Olivia Rodrigo,95,219724,album,12,TRUE,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
11-10-2024,9,Virginia Beach,Drake,83,251094,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,10,Water,Tyla,89,200255,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e
11-10-2024,11,Cruel Summer,Taylor Swift,99,178426,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
11-10-2024,12,My Love Mine All Mine,Mitski,91,137773,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10
11-10-2024,13,Slime You Out (feat. SZA),Drake,79,310490,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,14,adore u,Fred again.. & Obongjayar,84,220653,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273f14e70dbc29485778e114039
11-10-2024,15,bad idea right?,Olivia Rodrigo,93,184783,album,12,TRUE,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
11-10-2024,16,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,80,319191,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,17,Dance The Night - From Barbie The Album,Dua Lipa,95,176579,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
11-10-2024,18,8am in Charlotte,Drake,80,266847,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,19,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,96,222369,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e
11-10-2024,20,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status & Bou & Flowdan,80,177291,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273adfadf345224340773549507
11-10-2024,21,get him back!,Olivia Rodrigo,92,211141,album,12,TRUE,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
11-10-2024,22,fukumean,Gunna,95,125040,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
11-10-2024,23,Disconnect,Becky Hill & Chase & Status,80,164914,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27309dc775999d5a6d87d156c2f
11-10-2024,24,Calling For You (feat. 21 Savage),Drake,82,285630,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,25,(It Goes Like) Nanana - Edit,Peggy Gou,92,231545,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522
11-10-2024,26,Daylight,Drake,81,164142,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,27,Fear Of Heights,Drake,81,155154,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,28,Asking,Sonny Fodera & MK & Clementine Douglas,78,191590,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273134ef642daa4982eef39577c
11-10-2024,29,Amen (feat. Teezo Touchdown),Drake,80,141212,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,30,Members Only (feat. PARTYNEXTDOOR),Drake,78,277720,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,31,City Boys,Burna Boy,84,153346,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27339550ce4ccf28a1a4b82a443
11-10-2024,32,7969 Santa,Drake,80,259846,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,33,Daylight,David Kushner,95,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
11-10-2024,34,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,93,215466,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d
11-10-2024,35,Gently (feat. Bad Bunny),Drake,81,133694,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,36,Bahamas Promises,Drake,79,184089,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,37,What Would Pluto Do,Drake,79,182998,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,38,Mr. Brightside,The Killers,87,222973,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
11-10-2024,39,Tried Our Best,Drake,79,209990,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
11-10-2024,40,I Wanna Be Yours,Arctic Monkeys,94,183956,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
11-10-2024,41,Stick Season,Noah Kahan,84,182346,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918
11-10-2024,42,Another Love,Tom Odell,91,244360,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f
11-10-2024,43,Daily Duppy (feat. GRM Daily),Nines,57,192439,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273aa9a94439cf84d49f01c0361
11-10-2024,44,As It Was,Harry Styles,94,167303,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
11-10-2024,45,Giving Me,Jazzy,82,169000,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c62f6e3708772daaa05e787d
11-10-2024,46,Pink + White,Frank Ocean,90,184516,album,17,FALSE,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526
11-10-2024,47,Anti-Hero,Taylor Swift,92,200690,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
11-10-2024,48,Dreams - 2004 Remaster,Fleetwood Mac,88,257800,album,58,FALSE,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b
11-10-2024,49,Good Love,Hannah Laing & RoRo,79,169534,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2735647f33c586bfe7bb8b7a0c6
11-10-2024,50,Why'd You Only Call Me When You're High?,Arctic Monkeys,89,161123,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
12-10-2024,1,Strangers,Kenya Grace,96,172964,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3
12-10-2024,2,greedy,Tate McRae,96,131872,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8
12-10-2024,3,Paint The Town Red,Doja Cat,85,230480,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273a840032f14ab22da396e43cb
12-10-2024,4,Prada,cassö & RAYE & D-Block Europe,93,132359,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273e4b7dccdfd54375ded9ccc5c
12-10-2024,5,Sprinter,Dave & Central Cee,94,229133,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60
12-10-2024,6,IDGAF (feat. Yeat),Drake,86,260111,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,7,First Person Shooter (feat. J. Cole),Drake,86,247444,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,8,vampire,Olivia Rodrigo,95,219724,album,12,TRUE,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
12-10-2024,9,Cruel Summer,Taylor Swift,99,178426,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
12-10-2024,10,Water,Tyla,89,200255,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e
12-10-2024,11,My Love Mine All Mine,Mitski,91,137773,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10
12-10-2024,12,Virginia Beach,Drake,84,251094,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,13,adore u,Fred again.. & Obongjayar,84,220653,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273f14e70dbc29485778e114039
12-10-2024,14,Dance The Night - From Barbie The Album,Dua Lipa,95,176579,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
12-10-2024,15,Slime You Out (feat. SZA),Drake,80,310490,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,16,bad idea right?,Olivia Rodrigo,93,184783,album,12,TRUE,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
12-10-2024,17,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,96,222369,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e
12-10-2024,18,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status & Bou & Flowdan,80,177291,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273adfadf345224340773549507
12-10-2024,19,get him back!,Olivia Rodrigo,92,211141,album,12,TRUE,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
12-10-2024,20,fukumean,Gunna,95,125040,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
12-10-2024,21,Disconnect,Becky Hill & Chase & Status,80,164914,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27309dc775999d5a6d87d156c2f
12-10-2024,22,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,82,319191,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,23,Asking,Sonny Fodera & MK & Clementine Douglas,78,191590,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273134ef642daa4982eef39577c
12-10-2024,24,(It Goes Like) Nanana - Edit,Peggy Gou,92,231545,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522
12-10-2024,25,8am in Charlotte,Drake,81,266847,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,26,Calling For You (feat. 21 Savage),Drake,83,285630,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,27,City Boys,Burna Boy,84,153346,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27339550ce4ccf28a1a4b82a443
12-10-2024,28,Daylight,David Kushner,95,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
12-10-2024,29,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,93,215466,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d
12-10-2024,30,Mr. Brightside,The Killers,87,222973,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
12-10-2024,31,Daylight,Drake,82,164142,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,32,Fear Of Heights,Drake,82,155154,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,33,I Wanna Be Yours,Arctic Monkeys,94,183956,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
12-10-2024,34,Members Only (feat. PARTYNEXTDOOR),Drake,80,277720,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,35,Pink + White,Frank Ocean,90,184516,album,17,FALSE,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526
12-10-2024,36,Giving Me,Jazzy,82,169000,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c62f6e3708772daaa05e787d
12-10-2024,37,Another Love,Tom Odell,91,244360,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f
12-10-2024,38,Gently (feat. Bad Bunny),Drake,83,133694,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,39,Amen (feat. Teezo Touchdown),Drake,81,141212,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
12-10-2024,40,Stick Season,Noah Kahan,84,182346,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918
12-10-2024,41,Anti-Hero,Taylor Swift,92,200690,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
12-10-2024,42,Dreams - 2004 Remaster,Fleetwood Mac,88,257800,album,58,FALSE,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b
